city,datetime,temp,humidity,pressure,wind_speed,wind_bearing,visibility,clouds,lat,lon
Hai Duong,2026-03-21 15:00:00,22.46,82,1014,3.59,135,10000,61,20.9333,106.3167
Hai Duong,2026-03-21 18:00:00,22.07,85,1013,2.63,128,10000,77,20.9333,106.3167
Hai Duong,2026-03-21 21:00:00,20.78,91,1012,2.8,128,10000,62,20.9333,106.3167
Hai Duong,2026-03-22 00:00:00,22.05,88,1014,3.48,118,10000,35,20.9333,106.3167
Hai Duong,2026-03-22 03:00:00,27.04,64,1015,5.73,165,10000,44,20.9333,106.3167
Hai Duong,2026-03-22 06:00:00,28.88,56,1012,6.76,169,10000,70,20.9333,106.3167
Hai Duong,2026-03-22 09:00:00,26.65,63,1011,6.29,152,10000,97,20.9333,106.3167
Hai Duong,2026-03-22 12:00:00,23.27,76,1012,4.4,142,10000,70,20.9333,106.3167
Hai Duong,2026-03-22 15:00:00,21.84,83,1013,3.0,128,10000,4,20.9333,106.3167
Hai Duong,2026-03-22 18:00:00,21.19,89,1012,2.8,131,10000,2,20.9333,106.3167
Hai Duong,2026-03-22 21:00:00,20.69,95,1011,2.5,121,10000,1,20.9333,106.3167
Hai Duong,2026-03-23 00:00:00,21.82,92,1013,2.75,127,10000,3,20.9333,106.3167
Hai Duong,2026-03-23 03:00:00,28.01,57,1013,5.61,173,10000,37,20.9333,106.3167
Hai Duong,2026-03-23 06:00:00,30.27,49,1011,6.75,173,10000,50,20.9333,106.3167
Hai Duong,2026-03-23 09:00:00,28.68,54,1009,6.85,154,10000,61,20.9333,106.3167
Hai Duong,2026-03-23 12:00:00,23.76,77,1011,5.05,139,10000,40,20.9333,106.3167
Nam Dinh,2026-03-18 15:00:00,22.7,88,1014,2.89,142,10000,6,20.4167,106.1667
Nam Dinh,2026-03-18 18:00:00,22.34,91,1014,1.81,140,10000,6,20.4167,106.1667
Nam Dinh,2026-03-18 21:00:00,21.79,93,1013,1.95,110,10000,19,20.4167,106.1667
Nam Dinh,2026-03-19 00:00:00,22.06,86,1014,2.4,107,10000,62,20.4167,106.1667
Nam Dinh,2026-03-19 03:00:00,25.02,61,1015,4.85,155,10000,97,20.4167,106.1667
Nam Dinh,2026-03-19 06:00:00,26.31,61,1012,5.27,154,10000,97,20.4167,106.1667
Nam Dinh,2026-03-19 09:00:00,26.56,62,1009,6.11,145,10000,78,20.4167,106.1667
Nam Dinh,2026-03-19 12:00:00,23.0,83,1010,4.16,146,10000,58,20.4167,106.1667
Nam Dinh,2026-03-19 15:00:00,22.27,91,1013,2.86,156,10000,100,20.4167,106.1667
Nam Dinh,2026-03-19 18:00:00,21.37,95,1011,2.41,137,10000,72,20.4167,106.1667
Nam Dinh,2026-03-19 21:00:00,20.95,97,1010,2.17,128,10000,15,20.4167,106.1667
Nam Dinh,2026-03-20 00:00:00,22.65,88,1012,2.6,161,10000,24,20.4167,106.1667
Nam Dinh,2026-03-20 03:00:00,26.6,64,1014,6.19,158,10000,72,20.4167,106.1667
Nam Dinh,2026-03-20 06:00:00,26.22,66,1012,6.32,153,10000,84,20.4167,106.1667
Nam Dinh,2026-03-20 09:00:00,25.71,69,1010,6.07,136,10000,95,20.4167,106.1667
Nam Dinh,2026-03-20 12:00:00,23.69,82,1012,4.03,126,10000,96,20.4167,106.1667
Nam Dinh,2026-03-20 15:00:00,22.47,87,1014,3.5,117,10000,94,20.4167,106.1667
